Gene ID	Gene Name	g1.WithInSampleAbundance	g7.WithInSampleAbundance	g6.WithInSampleAbundance	g10.WithInSampleAbundance	g5.WithInSampleAbundance	g3.WithInSampleAbundance	g8.WithInSampleAbundance	g9.WithInSampleAbundance	g2.WithInSampleAbundance	g4.WithInSampleAbundance
A1BG		50022	122700	100715	205165	103664	119552	77635	35546	262850	66632
A2M		27161	60439	43614	145840	60296	67671	21599	40003	139224	27828
A2ML1		0	0	866	4084	0	1438	0	712	0	454
AAAS		4547	2770	4546	2855	4706	3787	4361	3539	4971	3385
AACS		2969	1613	5720	1923	5263	7240	5930	9319	1451	1571
AAGAB		3221	1250	4433	0	3697	4548	10695	7315	1858	4863
AAK1		2382	1208	3000	472	2269	2612	2016	3646	2426	2669
AAMDC		8552	27261	33408	26395	25189	27690	32752	25177	13874	24084
AAMP		7706	5085	6140	4355	5444	5545	6497	4287	6429	5216
AAR2		767	0	0	0	838	899	910	671	0	0
AARS1		11720	8824	7685	5527	6220	11341	27274	14045	7585	8926
AARS2		2000	1901	1268	1429	1205	765	2745	1866	1436	992
AARSD1		2273	3550	3632	3048	3449	4062	3423	2764	5297	2061
AASDHPPT		5078	4895	4074	4178	4617	4184	7977	7049	4332	4279
AATF		561	0	0	0	0	71	0	138	0	0
ABAT		745	18963	9207	0	9610	24642	24846	40672	2867	3680
ABCA12		0	0	0	0	0	0	0	17	0	0
ABCA3		0	0	18	0	0	0	5548	1320	0	0
ABCA8		0	182	446	0	797	486	0	0	421	0
ABCB10		863	166	404	0	0	539	435	954	195	1494
ABCB6		3171	0	3648	2912	2690	21768	2784	2810	0	10809
ABCB7		1530	0	221	0	0	0	1884	1146	0	535
ABCB8		490	0	484	1138	0	635	390	747	0	589
ABCB9		996	564	1225	1820	974	1670	0	0	4389	0
ABCC1		705	0	369	445	288	616	190	2413	268	498
ABCC11		0	0	0	0	0	1458	0	698	0	0
ABCC3		840	240	917	0	749	810	0	463	0	0
ABCC4		282	0	314	0	217	367	272	103	177	406
ABCC5		0	0	0	0	0	0	49	0	0	31
ABCD1		2318	0	546	1232	848	2589	1106	676	721	500
ABCD2		0	0	0	0	0	0	0	0	0	0
ABCD3		3406	2099	4539	1748	2501	3417	6433	16502	2299	2440
ABCE1		8792	7596	8057	6237	7671	8437	7182	6424	10559	10173
ABCF1		3089	371	737	2294	611	2625	1172	1879	645	2037
ABCF2		901	1125	1625	882	1269	1537	1778	2739	869	1638
ABCF3		3903	3133	3108	1819	3759	4365	8669	3673	5262	3310
ABHD10		6669	9920	8510	8160	14268	9710	13985	9273	9638	8997
ABHD11		29691	20037	18555	21506	27103	84755	52777	54963	9351	10198
ABHD12		4449	5449	5848	4230	8282	4171	7597	7937	4520	10857
ABHD13		283	0	262	0	0	547	801	197	0	0
ABHD14B		58887	80992	91905	96161	97857	62848	28526	64170	63870	57668
ABHD16A		5393	4712	5837	3609	4989	6803	7366	4461	5214	3677
ABHD4		918	0	1404	161	536	320	2253	1245	0	5971
ABHD5		2171	4411	2452	26035	2599	1082	2121	3924	0	820
ABI1		9742	9754	10028	5727	7419	5357	9774	10075	11388	9370
ABI2		996	1093	2087	262	2189	648	1823	1551	2777	1070
ABI3		7391	3537	4138	2190	4419	4707	2739	2945	1454	2906
ABI3BP		3966	16136	10018	26139	13437	16940	3124	3833	28692	0
ABLIM1		0	973	958	2140	1793	240	0	1279	0	884
ABLIM3		0	0	105	318	271	0	410	106	0	0
ABR		1519	1357	1296	632	952	2398	2166	2371	2363	1375
ABRACL		27591	25000	27479	12392	35813	45553	23987	21707	33744	55271
ABRAXAS2		3162	3718	3188	894	2682	3633	4088	6295	3416	3229
ABT1		1380	0	0	2358	0	19767	1327	355	0	0
ACAA1		21451	22790	17215	23284	22687	22605	13000	18304	16103	22217
ACAA2		30550	36008	22861	77125	32007	22054	5271	24816	23271	28513
ACACA		696	1008	1150	529	1232	1576	738	1861	1106	1491
ACACB		0	80	216	965	215	71	0	378	0	0
ACAD10		35	0	48	0	39	56	358	154	0	108
ACAD11		0	513	0	666	0	330	0	523	0	609
ACAD8		3747	6052	5326	4059	4820	3593	18962	4739	5031	4824
ACAD9		8338	6598	5113	11042	4634	7011	5016	7484	15659	5133
ACADL		0	0	0	1034	0	0	0	0	0	0
ACADM		18691	30655	24443	18691	17191	21798	33792	44564	11936	18809
ACADS		4214	7249	6538	18459	7370	7874	20272	19516	8866	4863
ACADSB		8983	29300	37674	9025	12155	10431	67599	66716	103840	22446
ACADVL		23150	25158	23783	34773	24064	21325	22124	16531	19910	29793
ACAN		0	121	110	150	0	87	95	0	872	175
ACAP1		1488	130	0	0	1233	1131	0	476	0	163
ACAP2		1548	891	1275	730	1195	1356	798	1102	1090	1097
ACAT1		38949	48992	37997	56457	35711	37204	53080	80262	27220	36152
ACAT2		8592	9854	8644	8015	9299	7845	10766	10577	10649	8618
ACBD3		5228	6042	5802	3381	3038	5056	6910	4654	3881	8424
ACBD5		661	0	1946	0	0	1895	4569	3661	0	2841
ACE		1773	1114	1872	1709	1453	2586	288	498	1475	1694
ACE2		0	0	0	0	0	0	0	0	0	0
ACIN1		449	0	0	626	98	436	97	522	0	1197
ACLY		15549	12476	13918	6437	9739	15292	8281	14294	11544	17049
